"MOR10. Iedzîvotâju nâves cçloòi sadalîjumâ pa mçneðiem"

"Nâves cçlonis";"Gads";"uz 100 000 iedzîvotâju Janvâris";"uz 100 000 iedzîvotâju Februâris";"uz 100 000 iedzîvotâju Marts";"uz 100 000 iedzîvotâju Aprîlis";"uz 100 000 iedzîvotâju Maijs";"uz 100 000 iedzîvotâju Jûnijs";"uz 100 000 iedzîvotâju Jûlijs";"uz 100 000 iedzîvotâju Augusts";"uz 100 000 iedzîvotâju Septembris";"uz 100 000 iedzîvotâju Oktobris";"uz 100 000 iedzîvotâju Novembris";"uz 100 000 iedzîvotâju Decembris"
"Iedzimtas kroplîbas, deformâcijas un hromosomu anomâlijas (Q00-Q99)";"2017";0.21;0.26;0.36;0.15;0.10;0.15;0.10;0.05;0.15;0.05;0.26;0.21
"Iedzimtas kroplîbas, deformâcijas un hromosomu anomâlijas (Q00-Q99)";"2018";0.21;0.16;0.21;0.26;0.26;0.16;0.16;0.16;0.10;0.21;0.26;0.10
"Iedzimtas kroplîbas, deformâcijas un hromosomu anomâlijas (Q00-Q99)";"2019";0.26;0.05;0.05;0.16;0.16;0.16;0.16;0.21;0.21;0.21;0.10;0.10
"Iedzimtas kroplîbas, deformâcijas un hromosomu anomâlijas (Q00-Q99)";"2020";0.42;0.21;0.11;0.16;0.26;0.05;0.21;0.11;0.16;0.11;0;0.21
"Iedzimtas kroplîbas, deformâcijas un hromosomu anomâlijas (Q00-Q99)";"2021";0.16;0.11;0;0.11;0.11;0.11;0.27;0.11;0.21;0.16;0.21;0.42
"Iedzimtas kroplîbas, deformâcijas un hromosomu anomâlijas (Q00-Q99)";"2022";0.16;0.05;0.05;0.16;0.21;0;0.27;0.16;0.05;0.05;0.16;0.16
"Citur neklasificçti simptomi, pazîmes un anomâla klîniska un laboratorijas atrade (R00-R99)";"2015";1.31;1.82;1.21;1.67;1.37;1.21;1.42;1.11;1.06;1.11;1.21;1.31
"Citur neklasificçti simptomi, pazîmes un anomâla klîniska un laboratorijas atrade (R00-R99)";"2016";1.53;1.48;1.68;1.22;1.63;2.14;1.89;1.43;1.22;0.77;1.33;0.92
"Citur neklasificçti simptomi, pazîmes un anomâla klîniska un laboratorijas atrade (R00-R99)";"2017";1.29;1.49;1.96;1.49;1.49;1.70;1.85;1.39;1.34;1.60;1.08;1.65
"Citur neklasificçti simptomi, pazîmes un anomâla klîniska un laboratorijas atrade (R00-R99)";"2018";0.83;0.99;1.82;1.50;1.56;1.50;2.39;1.71;1.19;0.67;0.78;1.30
"Citur neklasificçti simptomi, pazîmes un anomâla klîniska un laboratorijas atrade (R00-R99)";"2019";1.78;1.93;2.14;1.88;1.31;1.36;2.35;1.15;1.10;1.25;1.46;1.10
"Citur neklasificçti simptomi, pazîmes un anomâla klîniska un laboratorijas atrade (R00-R99)";"2020";1.68;1.16;1.84;1.37;1.47;2.00;1.47;0.95;1.05;1.11;1.53;1.74
"Citur neklasificçti simptomi, pazîmes un anomâla klîniska un laboratorijas atrade (R00-R99)";"2021";1.65;0.96;1.49;1.33;1.54;1.86;2.60;1.65;2.07;2.65;1.65;1.27
"Citur neklasificçti simptomi, pazîmes un anomâla klîniska un laboratorijas atrade (R00-R99)";"2022";2.08;2.93;4.05;3.04;3.25;3.09;2.67;2.83;3.09;2.67;2.88;2.83
"Ârçji slimîbu un nâves cçloòi (V01-Y98)";"2015";8.65;6.88;7.03;7.08;7.08;5.21;8.65;7.94;6.12;8.04;7.38;8.65
"Ârçji slimîbu un nâves cçloòi (V01-Y98)";"2016";8.93;6.58;7.14;6.58;6.63;6.53;6.07;7.30;6.17;8.01;7.91;8.06
"Ârçji slimîbu un nâves cçloòi (V01-Y98)";"2017";7.57;7.52;6.95;6.74;6.23;7.16;6.90;6.64;6.95;7.83;7.26;8.65
"Ârçji slimîbu un nâves cçloòi (V01-Y98)";"2018";8.04;6.12;7.11;6.33;6.64;5.81;7.78;7.32;7.01;6.07;5.76;7.84
"Ârçji slimîbu un nâves cçloòi (V01-Y98)";"2019";7.47;6.64;6.27;5.80;5.02;6.01;5.96;5.59;6.17;5.38;6.01;6.64
"Ârçji slimîbu un nâves cçloòi (V01-Y98)";"2020";7.00;5.00;6.05;5.79;5.84;6.84;6.00;6.58;5.95;6.10;6.21;7.47
"Ârçji slimîbu un nâves cçloòi (V01-Y98)";"2021";8.01;6.58;6.00;6.21;6.53;7.43;7.38;6.63;5.25;5.68;7.27;7.64
"Ârçji slimîbu un nâves cçloòi (V01-Y98)";"2022";6.61;6.50;6.13;5.49;6.08;6.50;6.77;6.18;5.70;5.17;6.13;7.89
"..Transporta nelaimes gadîjumi (V01-V99)";"2015";1.31;0.35;0.40;0.71;0.46;0.76;0.96;1.57;1.01;1.11;1.06;1.31
"..Transporta nelaimes gadîjumi (V01-V99)";"2016";0.66;0.56;0.82;0.71;0.71;0.97;0.87;0.92;1.12;0.92;0.87;0.77
"..Transporta nelaimes gadîjumi (V01-V99)";"2017";0.77;0.67;0.51;0.51;0.57;0.72;0.57;0.62;1.03;0.57;0.62;0.77
"..Transporta nelaimes gadîjumi (V01-V99)";"2018";0.88;0.52;0.36;0.47;0.62;0.78;0.47;0.88;0.99;1.19;0.78;1.14
"..Transporta nelaimes gadîjumi (V01-V99)";"2019";0.47;0.73;0.68;0.57;0.89;0.73;0.57;0.73;0.63;0.73;0.94;0.63
"..Transporta nelaimes gadîjumi (V01-V99)";"2020";1.00;0.42;0.42;0.26;0.42;0.79;0.37;0.84;1.00;0.79;0.89;0.79
"..Transporta nelaimes gadîjumi (V01-V99)";"2021";0.53;0.48;0.11;0.69;0.58;0.90;0.90;1.17;1.06;0.85;1.06;0.48
"..Transporta nelaimes gadîjumi (V01-V99)";"2022";0.69;0.27;0.32;0.32;0.43;0.75;0.69;0.48;0.59;0.91;1.23;0.48
"..Noslîkðana un slîkðana (W65-W74, Y21)";"2015";0.05;0.35;0.46;0.30;0.66;0.56;1.11;1.16;0.10;0.46;0.51;0.66
"..Noslîkðana un slîkðana (W65-W74, Y21)";"2016";0.15;0.46;0.46;0.41;0.77;1.02;0.77;0.87;0.56;0.66;0.36;0.41
"..Noslîkðana un slîkðana (W65-W74, Y21)";"2017";0.21;0.21;0.46;0.51;0.62;0.62;0.82;0.93;0.67;0.62;0.57;0.51
"..Noslîkðana un slîkðana (W65-W74, Y21)";"2018";0.21;0.10;0.16;0.67;0.73;0.83;1.61;0.83;0.57;0.26;0.21;0.26
"..Noslîkðana un slîkðana (W65-W74, Y21)";"2019";0.21;0.31;0.47;0.42;0.47;0.99;0.84;0.37;0.37;0.31;0.37;0.31
"..Noslîkðana un slîkðana (W65-W74, Y21)";"2020";0.21;0.21;0.47;0.32;0.63;1.21;1.00;0.58;0.37;0.26;0.58;1.00
"..Noslîkðana un slîkðana (W65-W74, Y21)";"2021";0.21;0.11;0.48;0.48;0.42;1.65;1.86;0.48;0.16;0.27;0.48;0.05
"..Noslîkðana un slîkðana (W65-W74, Y21)";"2022";0.05;0.32;0.37;0.21;0.37;0.69;0.96;0.96;0.16;0.21;0.21;0.21
"..Pakïauðana dûmu, uguns un liesmu iedarbei (X00-X09, Y26))";"2015";0.76;0.51;0.61;0.81;0.30;0.15;0.20;0.10;0.40;0.35;0.61;0.66
"..Pakïauðana dûmu, uguns un liesmu iedarbei (X00-X09, Y26))";"2016";1.02;0.31;0.66;0.71;0.26;0.26;0.26;0.26;0;0.87;0.61;0.71
"..Pakïauðana dûmu, uguns un liesmu iedarbei (X00-X09, Y26))";"2017";0.41;0.82;0.36;0.26;0.41;0.31;0.31;0.10;0.15;0.46;0.67;0.72
"..Pakïauðana dûmu, uguns un liesmu iedarbei (X00-X09, Y26))";"2018";0.57;0.42;0.57;0.21;0.16;0.16;0.36;0.16;0.42;0.57;0.67;0.99
"..Pakïauðana dûmu, uguns un liesmu iedarbei (X00-X09, Y26))";"2019";1.15;0.47;0.57;0.42;0.47;0.10;0.05;0.26;0.21;0.42;0.31;0.63
"..Pakïauðana dûmu, uguns un liesmu iedarbei (X00-X09, Y26))";"2020";0.95;0.32;0.68;0.58;0.42;0.37;0.16;0.21;0.47;0.47;0.37;0.74
"..Pakïauðana dûmu, uguns un liesmu iedarbei (X00-X09, Y26))";"2021";1.22;0.80;0.69;0.96;0.42;0.32;0.16;0.16;0.11;0.32;0.64;1.11
"..Pakïauðana dûmu, uguns un liesmu iedarbei (X00-X09, Y26))";"2022";0.48;0.43;0.37;0.80;0.48;0.11;0.16;0.05;0.32;0.32;0.64;0.64
"..Pârmçrîga dabiska aukstuma ietekme (X31)";"2015";1.21;0.81;0.40;0.30;0.15;0;0.05;0;0.05;0.56;0.40;0.71
"..Pârmçrîga dabiska aukstuma ietekme (X31)";"2016";2.04;0.66;0.71;0.26;0.10;0.05;0.05;0.05;0.10;0.77;0.92;0.97
"..Pârmçrîga dabiska aukstuma ietekme (X31)";"2017";1.08;1.13;0.88;0.57;0.10;0;0.10;0;0.10;0.46;0.77;0.93
"..Pârmçrîga dabiska aukstuma ietekme (X31)";"2018";0.93;0.83;0.73;0.57;0;0;0;0;0.21;0.31;0.26;0.73
"..Pârmçrîga dabiska aukstuma ietekme (X31)";"2019";0.99;0.89;0.63;0.10;0.10;0;0;0;0.37;0.26;0.52;0.78
"..Pârmçrîga dabiska aukstuma ietekme (X31)";"2020";0.89;0.58;0.63;0.42;0.16;0;0.11;0;0.11;0.21;0.37;0.84
"..Pârmçrîga dabiska aukstuma ietekme (X31)";"2021";1.22;1.17;0.64;0.37;0.37;0;0;0.05;0.11;0.37;0.58;2.18
"..Pârmçrîga dabiska aukstuma ietekme (X31)";"2022";0.91;0.96;0.64;0.43;0.11;0.05;0.05;0.05;0.16;0;0.43;1.76
"..Saindçðanâs un pakïauðana kaitîgu vielu iedarbei (X40-X49, Y10-Y19)";"2015";1.16;0.56;0.71;1.06;0.51;0.56;1.01;0.61;0.46;0.81;0.51;0.40
"..Saindçðanâs un pakïauðana kaitîgu vielu iedarbei (X40-X49, Y10-Y19)";"2016";1.38;0.51;0.77;0.87;0.92;0.31;0.46;0.92;0.77;0.77;0.87;0.66
"..Saindçðanâs un pakïauðana kaitîgu vielu iedarbei (X40-X49, Y10-Y19)";"2017";0.93;0.72;0.67;1.34;0.57;0.82;0.67;1.08;0.62;1.03;0.88;1.18
"..Saindçðanâs un pakïauðana kaitîgu vielu iedarbei (X40-X49, Y10-Y19)";"2018";1.40;0.99;1.14;0.83;0.57;0.62;0.52;0.42;0.78;0.57;0.47;0.31
"..Saindçðanâs un pakïauðana kaitîgu vielu iedarbei (X40-X49, Y10-Y19)";"2019";0.73;0.42;0.57;0.42;0.52;0.57;0.47;0.42;0.47;0.42;0.63;1.05
"..Saindçðanâs un pakïauðana kaitîgu vielu iedarbei (X40-X49, Y10-Y19)";"2020";0.42;0.42;0.53;1.11;0.63;0.58;0.47;0.37;0.37;0.58;0.42;0.89
"..Saindçðanâs un pakïauðana kaitîgu vielu iedarbei (X40-X49, Y10-Y19)";"2021";1.01;0.69;0.96;0.85;0.69;0.27;0.27;0.48;0.48;0.42;0.69;0.58
"..Saindçðanâs un pakïauðana kaitîgu vielu iedarbei (X40-X49, Y10-Y19)";"2022";0.53;1.01;0.85;0.53;0.69;0.80;0.91;0.85;0.96;0.96;0.85;0.64
"..Saindçðanâs ar alkoholu (X45; Y15)";"2015";0.66;0.40;0.61;0.81;0.30;0.51;0.56;0.51;0.46;0.51;0.25;0.25
"..Saindçðanâs ar alkoholu (X45; Y15)";"2016";0.97;0.20;0.61;0.46;0.61;0.20;0.20;0.41;0.46;0.51;0.61;0.41
"..Saindçðanâs ar alkoholu (X45; Y15)";"2017";0.72;0.31;0.51;0.98;0.57;0.41;0.36;0.41;0.31;0.57;0.36;0.51
"..Saindçðanâs ar alkoholu (X45; Y15)";"2018";0.93;0.42;0.57;0.36;0.26;0.47;0.31;0.26;0.42;0.36;0.36;0.21
"..Saindçðanâs ar alkoholu (X45; Y15)";"2019";0.63;0.37;0.31;0.16;0.31;0.31;0.37;0.16;0.31;0.31;0.52;0.68
"..Saindçðanâs ar alkoholu (X45; Y15)";"2020";0.21;0.32;0.26;0.68;0.42;0.47;0.37;0.05;0.21;0.16;0.16;0.58
"..Saindçðanâs ar alkoholu (X45; Y15)";"2021";0.64;0.42;0.58;0.48;0.37;0.16;0.16;0.16;0.42;0.27;0.53;0.32
"..Saindçðanâs ar alkoholu (X45; Y15)";"2022";0.27;0.53;0.59;0.16;0.48;0.37;0.48;0.11;0.32;0.32;0.16;0.27
"..Tîðs paðkaitçjums (X60-X84)";"2015";2.07;1.62;1.52;1.67;1.97;1.01;2.33;1.57;1.57;1.57;1.52;1.11
"..Tîðs paðkaitçjums (X60-X84)";"2016";1.48;1.68;1.79;1.17;1.68;1.53;1.43;1.58;1.48;1.43;1.94;1.38
"..Tîðs paðkaitçjums (X60-X84)";"2017";1.44;1.49;1.29;1.39;1.85;1.60;1.65;1.49;1.39;1.49;1.60;1.49
"..Tîðs paðkaitçjums (X60-X84)";"2018";0.99;1.04;1.09;0.93;1.87;1.14;1.82;1.35;1.61;1.19;1.04;1.45
"..Tîðs paðkaitçjums (X60-X84)";"2019";1.20;1.41;1.25;1.36;0.99;1.25;1.67;1.41;1.31;1.31;0.94;0.94
"..Tîðs paðkaitçjums (X60-X84)";"2020";1.37;1.00;1.42;1.16;1.21;1.58;1.89;1.68;1.21;1.32;1.21;0.63
"..Tîðs paðkaitçjums (X60-X84)";"2021";0.90;0.90;0.96;0.85;1.11;1.27;1.27;1.86;1.17;1.11;1.33;0.69
"..Tîðs paðkaitçjums (X60-X84)";"2022";1.07;0.91;0.80;0.75;0.96;1.23;1.23;1.33;0.80;0.75;0.91;1.12
"..Vardarbîba (X85-Y09)";"2015";0.46;0.25;0.40;0.35;0.35;0.20;0.40;0.35;0.25;0.66;0.56;0.76
"..Vardarbîba (X85-Y09)";"2016";0.71;0.20;0.15;0.66;0.31;0.20;0.41;0.36;0.31;0.71;0.20;0.36
"..Vardarbîba (X85-Y09)";"2017";0.57;0.21;0.21;0.10;0.26;0.46;0.41;0.31;0.41;0.26;0.26;0.36
"..Vardarbîba (X85-Y09)";"2018";0.42;0.36;0.16;0.31;0.26;0.16;0.31;0.52;0.47;0.21;0.26;0.52
"..Vardarbîba (X85-Y09)";"2019";0.37;0.26;0.31;0.31;0.26;0.26;0.47;0.26;0.26;0.05;0.10;0.31
"..Vardarbîba (X85-Y09)";"2020";0.37;0.16;0.11;0.26;0.11;0.53;0.26;0.32;0.32;0.32;0.47;0.21
"..Vardarbîba (X85-Y09)";"2021";0.16;0.27;0.27;0.37;0.58;0.37;0.16;0.27;0.21;0.27;0.32;0.32
"..Vardarbîba (X85-Y09)";"2022";0.16;0.21;0.37;0.43;0.48;0.32;0.11;0.11;0.27;0.16;0.05;0.27
"Îpaðiem gadîjumiem paredzçtie kodi (U00-U85)";"2015";0;0;0;0;0;0;0;0;0;0;0;0
"Îpaðiem gadîjumiem paredzçtie kodi (U00-U85)";"2016";0;0;0;0;0;0;0;0;0;0;0;0
"Îpaðiem gadîjumiem paredzçtie kodi (U00-U85)";"2017";0;0;0;0;0;0;0;0;0;0;0;0
"Îpaðiem gadîjumiem paredzçtie kodi (U00-U85)";"2018";0;0;0;0;0;0;0;0;0;0;0;0
"Îpaðiem gadîjumiem paredzçtie kodi (U00-U85)";"2019";0;0;0;0;0;0;0;0;0;0;0;0
"Îpaðiem gadîjumiem paredzçtie kodi (U00-U85)";"2020";0;0;0;0.47;0.16;0.11;0.05;0.05;0.11;1.26;6.63;27.99
"Îpaðiem gadîjumiem paredzçtie kodi (U00-U85)";"2021";34.07;22.07;14.54;14.59;13.58;7.22;1.54;1.75;8.28;41.07;52.22;20.16
"Îpaðiem gadîjumiem paredzçtie kodi (U00-U85)";"2022";17.33;17.54;17.17;6.61;2.03;1.07;2.13;2.88;2.99;4.58;2.72;3.63
"..Covid-19 (U07.1, U07.2)";"2015";x;x;x;x;x;x;x;x;x;x;x;x
"..Covid-19 (U07.1, U07.2)";"2016";x;x;x;x;x;x;x;x;x;x;x;x
"..Covid-19 (U07.1, U07.2)";"2017";x;x;x;x;x;x;x;x;x;x;x;x
"..Covid-19 (U07.1, U07.2)";"2018";x;x;x;x;x;x;x;x;x;x;x;x
"..Covid-19 (U07.1, U07.2)";"2019";x;x;x;x;x;x;x;x;x;x;x;x
"..Covid-19 (U07.1, U07.2)";"2020";0;0;0;0.47;0.16;0.11;0.05;0.05;0.11;1.26;6.63;27.99
"..Covid-19 (U07.1, U07.2)";"2021";34.07;22.02;14.54;14.59;13.58;7.22;1.49;1.75;8.28;41.02;52.16;20.16
"..Covid-19 (U07.1, U07.2)";"2022";17.27;17.54;17.17;6.61;2.03;1.07;2.13;2.88;2.99;4.58;2.72;3.63
